編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPVNMLNJNHLFFEA28CC,1,17.33,見其他登記事項,鋼筋混凝土造,104年8月28日,十九層,
RPWNMLNJNHLFFEA38CC,45,29.48,住家用,鋼筋混凝土造,59年12月10日,五層,
RPPOMLNJNHLFFEA77CC,50,87.91,住家用,加強磚造,55年2月26日,,
RPWNMLNJNHLFFBA08CC,41,31.18,住家用,鋼筋混凝土造,64年5月8日,五層,
RPOOMLNJNHLFFBA37CC,30,61.62,商業用,鋼筋混凝土造,74年12月10日,十四層,
RPQOMLNJNHLFFBA57CC,41,31.60,住家用,鋼筋混凝土造,64年4月3日,五層,
RPPNMLNJNHLFFDA57CC,17,405.81,住家用,見使用執照,88年1月19日,十八層,
RPVNMLNJNHLFFDA18CC,7,35.42,住家用,鋼筋混凝土造,97年12月5日,十五層,
RPVNMLNJNHLFFDA18CC,7,4.92,共有部分,鋼筋混凝土造,97年12月5日,十五層,
RPVNMLNJNHLFFDA18CC,7,12.62,共有部分,鋼筋混凝土造,97年12月5日,十五層,
RPVNMLNJNHLFFDA18CC,7,.00,共有部分,鋼筋混凝土造,97年12月5日,十五層,
RPVNMLNJNHLFFDA18CC,7,2.92,共有部分,鋼筋混凝土造,97年12月5日,十五層,
RPWNMLNJNHLFFDA28CC,42,96.83,住家用,鋼筋混凝土造,63年6月14日,四層,
RPQNMLNJNHLFFCA57CC,46,245.09,住家用,鋼筋混凝土造,59年1月31日,十一層,
RPXNMLNJNHLFFCA28CC,1,130.71,住家用,鋼筋混凝土造,104年7月24日,十四層,
RPXNMLNJNHLFFCA28CC,1,30.20,見其他登記事項,鋼筋混凝土造,104年7月24日,十四層,
RPXNMLNJNHLFFCA28CC,1,27.46,見其他登記事項,鋼筋混凝土造,104年7月24日,十四層,
RPXNMLNJNHLFFCA28CC,1,2.20,見其他登記事項,鋼筋混凝土造,104年7月24日,十四層,
RPOOMLNJNHLFFCA47CC,36,46.89,住家用,鋼筋混凝土造,69年3月14日,七層,
RPOOMLNJNHLFFCA47CC,36,13.45,共有部分,鋼筋混凝土造,69年3月14日,七層,
RPQNMLOJNHLFFCA67CC,37,66.12,住家用,鋼筋混凝土造,68年10月18日,四層,
RPSNMLOJNHLFFCA87CC,7,172.09,見其他登記事項,鋼筋混凝土造,98年6月23日,七層,
RPSNMLOJNHLFFCA87CC,7,30.88,共有部分,鋼筋混凝土造,98年6月23日,七層,
RPSNMLOJNHLFFCA87CC,7,77.60,共有部分,鋼筋混凝土造,98年6月23日,七層,
RPQOMLOJNHLFFCA77CC,19,928.78,商業用,鋼筋混凝土造,86年9月25日,十二層,
RPSOMLOJNHLFFCA97CC,37,108.70,見使用執照,鋼筋混凝土造,68年9月15日,十層,
RPTOMLOJNHLFFCA08CC,34,45.88,住家用,鋼筋混凝土造,71年6月24日,十二層,
RPTOMLOJNHLFFCA08CC,34,10.89,共有部分,鋼筋混凝土造,71年6月24日,十二層,
RPTOMLOJNHLFFCA08CC,34,2.80,見其他登記事項,鋼筋混凝土造,71年6月24日,十二層,
RPUOMLOJNHLFFCA18CC,4,170.21,見其他登記事項,鋼筋混凝土造,100年11月24日,十四層,
RPUOMLOJNHLFFCA18CC,4,101.02,見其他登記事項,鋼筋混凝土造,100年11月24日,十四層,
RPUOMLOJNHLFFCA18CC,4,8.07,見其他登記事項,鋼筋混凝土造,100年11月24日,十四層,
RPPPMLOJNHLFFCA77CC,3,53.38,見其他登記事項,鋼筋混凝土造,101年11月12日,十四層,
RPPPMLOJNHLFFCA77CC,3,26.83,見其他登記事項,鋼筋混凝土造,101年11月12日,十四層,
RPSPMLOJNHLFFCA08CC,6,77.97,住家用,鋼筋混凝土造,98年10月27日,十二層,
RPSPMLOJNHLFFCA08CC,6,35.65,見其他登記事項,鋼筋混凝土造,98年10月27日,十二層,
RPTPMLOJNHLFFCA18CC,28,129.49,見使用執照,鋼筋混凝土造,77年5月2日,五層,
RPUPMLOJNHLFFCA28CC,26,92.72,商業用,鋼筋混凝土造,79年10月19日,十七層,
RPUPMLOJNHLFFCA28CC,26,27.61,共有部分,鋼筋混凝土造,79年10月19日,十七層,
RPRQMLOJNHLFFCA08CC,34,105.24,住家用,鋼筋混凝土造,71年2月27日,五層,
RPRQMLOJNHLFFCA08CC,34,40.13,共有部分,鋼筋混凝土造,71年2月27日,五層,
RPTQMLOJNHLFFCA28CC,28,70.67,商業用,鋼筋混凝土造,77年1月26日,五層,
RPVQMLOJNHLFFCA48CC,13,19.42,商業用,鋼筋混凝土造,92年8月8日,十四層,
RPVQMLOJNHLFFCA48CC,13,6.98,共有部分,鋼筋混凝土造,92年8月8日,十四層,
RPVQMLOJNHLFFCA48CC,13,5.19,共有部分,鋼筋混凝土造,92年8月8日,十四層,
RPVQMLOJNHLFFCA48CC,13,6.81,共有部分,鋼筋混凝土造,92年8月8日,十四層,
RPXQMLOJNHLFFCA68CC,3,51.55,見其他登記事項,鋼筋混凝土造,101年11月12日,十四層,
RPXQMLOJNHLFFCA68CC,3,25.72,見其他登記事項,鋼筋混凝土造,101年11月12日,十四層,
RPORMLOJNHLFFCA87CC,10,51.63,商業用,鋼筋混凝土造,95年7月13日,十四層,
